Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	5/149	3.039287e-07	4.606817e-06	0	0	4.591667e+01	6.890472e+02	CENPF;CCNB1;PLK1;CDK1;AURKA
GO_Biological_Process_2021	mitotic DNA damage checkpoint signaling (GO:0044773)	4/59	3.193736e-07	4.606817e-06	0	0	9.056818e+01	1.354620e+03	CHEK2;PLK1;CHEK1;CDK1
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	7/496	3.240444e-07	4.606817e-06	0	0	2.146248e+01	3.207007e+02	CHEK2;PLK1;CHEK1;CDK1;BIRC5;AURKB;AURKA
GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	6/296	3.251871e-07	4.606817e-06	0	0	2.909852e+01	4.346989e+02	CCNB2;CENPF;CCNB1;PLK1;CHEK1;BIRC5
GO_Biological_Process_2021	regulation of signal transduction by p53 class mediator (GO:1901796)	5/156	3.818484e-07	5.193138e-06	0	0	4.377263e+01	6.468825e+02	CHEK2;CHEK1;CDK1;AURKB;AURKA
GO_Biological_Process_2021	protein localization to chromosome, centromeric region (GO:0071459)	3/17	5.762613e-07	7.535725e-06	0	0	2.516723e+02	3.615701e+03	CDK1;CENPA;AURKB
GO_Biological_Process_2021	regulation of chromosome segregation (GO:0051983)	3/18	6.910744e-07	8.693634e-06	0	0	2.348824e+02	3.331810e+03	KIF2C;MKI67;AURKB
GO_Biological_Process_2021	cytoskeleton-dependent cytokinesis (GO:0061640)	4/72	7.159463e-07	8.693634e-06	0	0	7.320588e+01	1.035838e+03	PLK1;KIF20A;CENPA;AURKB
GO_Biological_Process_2021	mitotic nuclear division (GO:0140014)	4/74	7.997087e-07	9.375895e-06	0	0	7.110714e+01	9.982745e+02	UBE2C;CHEK2;PLK1;KIF11
GO_Biological_Process_2021	regulation of cell division (GO:0051302)	4/76	8.905528e-07	1.009293e-05	0	0	6.912500e+01	9.630096e+02	PLK1;KIF20A;AURKB;AURKA
GO_Biological_Process_2021	spindle assembly checkpoint signaling (GO:0071173)	3/21	1.124238e-06	1.124238e-05	0	0	1.957059e+02	2.680859e+03	CDC20;CENPF;PLK1
GO_Biological_Process_2021	regulation of ubiquitin protein ligase activity (GO:1904666)	3/21	1.124238e-06	1.124238e-05	0	0	1.957059e+02	2.680859e+03	CDC20;UBE2C;PLK1
GO_Biological_Process_2021	mitotic spindle assembly checkpoint signaling (GO:0007094)	3/21	1.124238e-06	1.124238e-05	0	0	1.957059e+02	2.680859e+03	CDC20;CENPF;PLK1
GO_Biological_Process_2021	mitotic spindle checkpoint signaling (GO:0071174)	3/21	1.124238e-06	1.124238e-05	0	0	1.957059e+02	2.680859e+03	CDC20;CENPF;PLK1
GO_Biological_Process_2021	negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	3/22	1.300921e-06	1.229137e-05	0	0	1.853963e+02	2.512572e+03	CDC20;CENPF;PLK1
GO_Biological_Process_2021	regulation of cytokinesis (GO:0032465)	4/84	1.332483e-06	1.229137e-05	0	0	6.218750e+01	8.413015e+02	PLK1;KIF20A;AURKB;AURKA
GO_Biological_Process_2021	modification-dependent protein catabolic process (GO:0019941)	5/201	1.337590e-06	1.229137e-05	0	0	3.364626e+01	4.550536e+02	CDC20;UBE2C;PLK1;AURKB;AURKA
GO_Biological_Process_2021	regulation of cell cycle G2/M phase transition (GO:1902749)	4/85	1.397389e-06	1.250295e-05	0	0	6.141667e+01	8.279523e+02	CENPF;PLK1;CDK1;AURKA
GO_Biological_Process_2021	regulation of mitotic metaphase/anaphase transition (GO:0030071)	3/26	2.190779e-06	1.909910e-05	0	0	1.531228e+02	1.995381e+03	CCNB1;UBE2C;PLK1
GO_Biological_Process_2021	mitotic chromosome condensation (GO:0007076)	3/27	2.463059e-06	2.093600e-05	0	0	1.467353e+02	1.894955e+03	CCNB1;PLK1;CDK1
GO_Biological_Process_2021	mitotic sister chromatid segregation (GO:0000070)	4/102	2.901042e-06	2.405742e-05	0	0	5.071939e+01	6.466945e+02	CCNB1;PLK1;CDK1;KIF2C
GO_Biological_Process_2021	positive regulation of ubiquitin-protein transferase activity (GO:0051443)	3/31	3.775487e-06	3.056346e-05	0	0	1.257479e+02	1.570212e+03	CDC20;UBE2C;PLK1
GO_Biological_Process_2021	mitotic G2 DNA damage checkpoint signaling (GO:0007095)	3/33	4.576828e-06	3.618888e-05	0	0	1.173529e+02	1.442796e+03	PLK1;CHEK1;CDK1
GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	5/277	6.426814e-06	4.966175e-05	0	0	2.415196e+01	2.887375e+02	TOP2A;PCNA;CHEK1;CDK1;TYMS
GO_Biological_Process_2021	mitotic spindle assembly (GO:0090307)	3/44	1.103233e-05	8.335535e-05	0	0	8.582066e+01	9.796154e+02	CHEK2;KIF11;AURKB
GO_Biological_Process_2021	mitotic G2/M transition checkpoint (GO:0044818)	3/45	1.181282e-05	8.731216e-05	0	0	8.377311e+01	9.505169e+02	PLK1;CHEK1;CDK1
GO_Biological_Process_2021	mitotic cytokinesis (GO:0000281)	3/49	1.529849e-05	1.106699e-04	0	0	7.647315e+01	8.479156e+02	PLK1;KIF20A;CENPA
GO_Biological_Process_2021	mitotic nuclear membrane organization (GO:0101024)	3/51	1.727016e-05	1.198337e-04	0	0	7.327941e+01	8.036209e+02	CCNB2;CCNB1;CDK1
GO_Biological_Process_2021	mitotic nuclear membrane reassembly (GO:0007084)	3/51	1.727016e-05	1.198337e-04	0	0	7.327941e+01	8.036209e+02	CCNB2;CCNB1;CDK1
GO_Biological_Process_2021	nuclear membrane reassembly (GO:0031468)	3/54	2.053066e-05	1.396085e-04	0	0	6.895848e+01	7.443096e+02	CCNB2;CCNB1;CDK1
GO_Biological_Process_2021	ubiquitin-dependent protein catabolic process (GO:0006511)	5/354	2.103733e-05	1.402489e-04	0	0	1.874976e+01	2.019202e+02	CDC20;UBE2C;PLK1;AURKB;AURKA
GO_Biological_Process_2021	positive regulation of mitotic cell cycle phase transition (GO:1901992)	3/58	2.547498e-05	1.665672e-04	0	0	6.393048e+01	6.762447e+02	CCNB1;UBE2C;CDK1
GO_Biological_Process_2021	regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	2/8	2.650430e-05	1.668789e-04	0	0	3.698889e+02	3.897964e+03	UBE2C;PLK1
GO_Biological_Process_2021	DNA damage induced protein phosphorylation (GO:0006975)	2/8	2.650430e-05	1.668789e-04	0	0	3.698889e+02	3.897964e+03	CHEK2;CHEK1
GO_Biological_Process_2021	kinetochore assembly (GO:0051382)	2/9	3.405660e-05	2.067722e-04	0	0	3.170317e+02	3.261460e+03	CENPF;CENPA
GO_Biological_Process_2021	regulation of mitotic centrosome separation (GO:0046602)	2/9	3.405660e-05	2.067722e-04	0	0	3.170317e+02	3.261460e+03	CHEK1;KIF11
GO_Biological_Process_2021	negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	3/66	3.758775e-05	2.242077e-04	0	0	5.578992e+01	5.684341e+02	CHEK1;AURKB;AURKA
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	7/1025	3.913882e-05	2.294345e-04	0	0	1.002977e+01	1.017861e+02	CHEK2;PLK1;CHEK1;CDK1;BIRC5;AURKB;AURKA
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	5/437	5.754096e-05	3.315920e-04	0	0	1.508333e+01	1.472588e+02	CHEK2;CHEK1;CDK1;AURKB;AURKA
GO_Biological_Process_2021	cellular response to UV (GO:0034644)	3/77	5.966646e-05	3.381099e-04	0	0	4.747059e+01	4.617341e+02	PCNA;CHEK1;AURKB
GO_Biological_Process_2021	replicative senescence (GO:0090399)	2/12	6.232516e-05	3.417831e-04	0	0	2.218889e+02	2.148582e+03	CHEK2;CHEK1
GO_Biological_Process_2021	protein localization to condensed chromosome (GO:1903083)	2/12	6.232516e-05	3.417831e-04	0	0	2.218889e+02	2.148582e+03	CDK1;AURKB
GO_Biological_Process_2021	regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	3/82	7.200615e-05	3.886046e-04	0	0	4.445495e+01	4.240451e+02	CCNB2;CCNB1;PLK1
GO_Biological_Process_2021	kinetochore organization (GO:0051383)	2/13	7.361293e-05	3.910687e-04	0	0	2.017071e+02	1.919584e+03	CENPF;CENPA
GO_Biological_Process_2021	protein localization to kinetochore (GO:0034501)	2/14	8.583036e-05	4.489588e-04	0	0	1.848889e+02	1.731140e+03	CDK1;AURKB
GO_Biological_Process_2021	regulation of mitotic sister chromatid separation (GO:0010965)	2/16	1.130474e-04	5.823655e-04	0	0	1.584603e+02	1.440040e+03	UBE2C;PLK1
GO_Biological_Process_2021	positive regulation of cell cycle process (GO:0090068)	3/101	1.338684e-04	6.793324e-04	0	0	3.580192e+01	3.193049e+02	CCNB1;AURKB;AURKA
GO_Biological_Process_2021	positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	2/20	1.785635e-04	8.928173e-04	0	0	1.232222e+02	1.063478e+03	CCNB1;CDK1
GO_Biological_Process_2021	DNA repair (GO:0006281)	4/298	1.938397e-04	9.551521e-04	0	0	1.673980e+01	1.430998e+02	PCNA;CHEK2;CHEK1;CDK1
GO_Biological_Process_2021	regulation of protein binding (GO:0043393)	3/118	2.121006e-04	1.030203e-03	0	0	3.048338e+01	2.578421e+02	PLK1;AURKB;AURKA
GO_Biological_Process_2021	positive regulation of cell cycle G2/M phase transition (GO:1902751)	2/23	2.373444e-04	1.120793e-03	0	0	1.056032e+02	8.813639e+02	CCNB1;CDK1
GO_Biological_Process_2021	mitotic cell cycle checkpoint signaling (GO:0007093)	2/23	2.373444e-04	1.120793e-03	0	0	1.056032e+02	8.813639e+02	CHEK1;AURKB
GO_Biological_Process_2021	establishment of mitotic spindle orientation (GO:0000132)	2/24	2.587661e-04	1.205212e-03	0	0	1.007980e+02	8.325496e+02	PLK1;CENPA
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	4/350	3.577955e-04	1.643925e-03	0	0	1.418642e+01	1.125770e+02	TOP2A;CHEK2;CHEK1;CDK1
GO_Biological_Process_2021	establishment of mitotic spindle localization (GO:0040001)	2/29	3.795101e-04	1.720446e-03	0	0	8.211111e+01	6.467588e+02	PLK1;CENPA
GO_Biological_Process_2021	establishment of spindle orientation (GO:0051294)	2/30	4.063745e-04	1.817991e-03	0	0	7.917460e+01	6.182139e+02	PLK1;CENPA
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	3/148	4.127088e-04	1.822351e-03	0	0	2.413996e+01	1.881171e+02	PCNA;PLK1;AURKB
GO_Biological_Process_2021	regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	2/32	4.628054e-04	1.991821e-03	0	0	7.388889e+01	5.673340e+02	PCNA;TYMS
GO_Biological_Process_2021	DNA damage checkpoint signaling (GO:0000077)	2/32	4.628054e-04	1.991821e-03	0	0	7.388889e+01	5.673340e+02	CHEK2;CHEK1
GO_Biological_Process_2021	peptidyl-serine phosphorylation (GO:0018105)	3/156	4.813650e-04	2.045801e-03	0	0	2.286851e+01	1.746899e+02	PLK1;CDK1;AURKA
GO_Biological_Process_2021	protein autophosphorylation (GO:0046777)	3/159	5.088866e-04	2.136067e-03	0	0	2.242534e+01	1.700577e+02	CHEK2;AURKB;AURKA
GO_Biological_Process_2021	sister chromatid segregation (GO:0000819)	2/34	5.228285e-04	2.141707e-03	0	0	6.926389e+01	5.233758e+02	TOP2A;PLK1
GO_Biological_Process_2021	protein localization to chromosome (GO:0034502)	2/34	5.228285e-04	2.141707e-03	0	0	6.926389e+01	5.233758e+02	PLK1;CENPA
GO_Biological_Process_2021	peptidyl-serine modification (GO:0018209)	3/169	6.078714e-04	2.460432e-03	0	0	2.106378e+01	1.559888e+02	PLK1;CDK1;AURKA
GO_Biological_Process_2021	centromere complex assembly (GO:0034508)	2/37	6.195695e-04	2.478278e-03	0	0	6.331746e+01	4.676935e+02	CENPF;CENPA
GO_Biological_Process_2021	DNA integrity checkpoint signaling (GO:0031570)	2/39	6.885154e-04	2.690750e-03	0	0	5.988889e+01	4.360494e+02	CHEK2;CHEK1
GO_Biological_Process_2021	regulation of exit from mitosis (GO:0007096)	2/39	6.885154e-04	2.690750e-03	0	0	5.988889e+01	4.360494e+02	CDC20;UBE2C
GO_Biological_Process_2021	microtubule bundle formation (GO:0001578)	2/45	9.165787e-04	3.541327e-03	0	0	5.151680e+01	3.603529e+02	PLK1;KIF20A
GO_Biological_Process_2021	regulation of protein localization to nucleus (GO:1900180)	2/47	9.996316e-04	3.818818e-03	0	0	4.922222e+01	3.400332e+02	PLK1;CDK1
GO_Biological_Process_2021	mitotic metaphase plate congression (GO:0007080)	2/51	1.176208e-03	4.443452e-03	0	0	4.519501e+01	3.048611e+02	CCNB1;KIF2C
GO_Biological_Process_2021	signal transduction in response to DNA damage (GO:0042770)	2/52	1.222524e-03	4.567671e-03	0	0	4.428889e+01	2.970384e+02	CHEK2;CHEK1
GO_Biological_Process_2021	regulation of cyclin-dependent protein kinase activity (GO:1904029)	2/54	1.317751e-03	4.869948e-03	0	0	4.258120e+01	2.823912e+02	CCNB2;CCNB1
GO_Biological_Process_2021	peptidyl-threonine phosphorylation (GO:0018107)	2/60	1.624077e-03	5.937486e-03	0	0	3.816475e+01	2.451252e+02	CHEK1;CDK1
GO_Biological_Process_2021	positive regulation of DNA biosynthetic process (GO:2000573)	2/61	1.678125e-03	6.005922e-03	0	0	3.751601e+01	2.397302e+02	PCNA;AURKB
GO_Biological_Process_2021	regulation of DNA-templated transcription, initiation (GO:2000142)	2/61	1.678125e-03	6.005922e-03	0	0	3.751601e+01	2.397302e+02	CCNB1;CDK1
GO_Biological_Process_2021	negative regulation of cell cycle process (GO:0010948)	2/64	1.845372e-03	6.468313e-03	0	0	3.569534e+01	2.247048e+02	CHEK1;AURKB
GO_Biological_Process_2021	regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	2/64	1.845372e-03	6.468313e-03	0	0	3.569534e+01	2.247048e+02	CCNB1;CDK1
GO_Biological_Process_2021	positive regulation of cell cycle (GO:0045787)	2/66	1.961104e-03	6.803830e-03	0	0	3.457639e+01	2.155578e+02	CCNB1;CHEK1
GO_Biological_Process_2021	peptidyl-threonine modification (GO:0018210)	2/67	2.020236e-03	6.938184e-03	0	0	3.404274e+01	2.112195e+02	CHEK1;CDK1
GO_Biological_Process_2021	positive regulation of protein localization to nucleus (GO:1900182)	2/68	2.080210e-03	7.072713e-03	0	0	3.352525e+01	2.070280e+02	PLK1;CDK1
GO_Biological_Process_2021	cellular response to light stimulus (GO:0071482)	2/70	2.202676e-03	7.414949e-03	0	0	3.253595e+01	1.990576e+02	PCNA;AURKB
GO_Biological_Process_2021	positive regulation of cellular protein localization (GO:1903829)	2/71	2.265166e-03	7.550552e-03	0	0	3.206280e+01	1.952659e+02	PLK1;CDK1
GO_Biological_Process_2021	negative regulation of protein binding (GO:0032091)	2/74	2.457641e-03	8.112601e-03	0	0	3.072222e+01	1.845961e+02	AURKB;AURKA
GO_Biological_Process_2021	positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	2/79	2.795028e-03	9.137590e-03	0	0	2.872006e+01	1.688714e+02	CDC20;PLK1
GO_Biological_Process_2021	spindle assembly (GO:0051225)	2/84	3.152990e-03	1.020968e-02	0	0	2.696206e+01	1.552854e+02	CHEK2;KIF11
GO_Biological_Process_2021	G1/S transition of mitotic cell cycle (GO:0000082)	2/85	3.227035e-03	1.025413e-02	0	0	2.663588e+01	1.527885e+02	PCNA;TYMS
GO_Biological_Process_2021	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	2/85	3.227035e-03	1.025413e-02	0	0	2.663588e+01	1.527885e+02	KIF2C;KIF11
GO_Biological_Process_2021	negative regulation of binding (GO:0051100)	2/88	3.454045e-03	1.087385e-02	0	0	2.570284e+01	1.456891e+02	AURKB;AURKA
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	3/314	3.584315e-03	1.118043e-02	0	0	1.116077e+01	6.284840e+01	CHEK1;CDK1;TYMS
GO_Biological_Process_2021	ciliary basal body-plasma membrane docking (GO:0097711)	2/95	4.011985e-03	1.240068e-02	0	0	2.375986e+01	1.311180e+02	PLK1;CDK1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	2/98	4.263111e-03	1.305818e-02	0	0	2.301389e+01	1.256042e+02	KIF2C;KIF11
GO_Biological_Process_2021	response to UV (GO:0009411)	2/99	4.348409e-03	1.320053e-02	0	0	2.277549e+01	1.238519e+02	PCNA;AURKB
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	2/100	4.434500e-03	1.334274e-02	0	0	2.254195e+01	1.221400e+02	KIF2C;KIF11
GO_Biological_Process_2021	epithelial cell differentiation (GO:0030855)	2/101	4.521382e-03	1.348482e-02	0	0	2.231313e+01	1.204672e+02	PCNA;CDK1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen (GO:0002478)	2/103	4.697512e-03	1.388830e-02	0	0	2.186909e+01	1.172341e+02	KIF2C;KIF11
GO_Biological_Process_2021	positive regulation of cellular metabolic process (GO:0031325)	2/105	4.876788e-03	1.413958e-02	0	0	2.144229e+01	1.141430e+02	CCNB1;CDK1
GO_Biological_Process_2021	positive regulation of attachment of spindle microtubules to kinetochore (GO:0051987)	1/5	4.990441e-03	1.413958e-02	0	0	2.628421e+02	1.393124e+03	CCNB1
GO_Biological_Process_2021	pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)	1/5	4.990441e-03	1.413958e-02	0	0	2.628421e+02	1.393124e+03	TYMS
GO_Biological_Process_2021	apoptotic chromosome condensation (GO:0030263)	1/5	4.990441e-03	1.413958e-02	0	0	2.628421e+02	1.393124e+03	TOP2A
GO_Biological_Process_2021	positive regulation of deoxyribonuclease activity (GO:0032077)	1/5	4.990441e-03	1.413958e-02	0	0	2.628421e+02	1.393124e+03	PCNA
GO_Biological_Process_2021	DNA replication (GO:0006260)	2/108	5.151575e-03	1.447550e-02	0	0	2.083229e+01	1.097539e+02	CHEK1;CDK1
GO_Biological_Process_2021	regulation of protein serine/threonine kinase activity (GO:0071900)	2/111	5.433372e-03	1.514218e-02	0	0	2.025586e+01	1.056383e+02	CCNB2;CCNB1
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	4/742	5.664299e-03	1.565741e-02	0	0	6.518293e+00	3.372286e+01	TOP2A;PLK1;CDK1;BIRC5
GO_Biological_Process_2021	negative regulation of cytokinesis (GO:0032466)	1/6	5.985691e-03	1.577624e-02	0	0	2.102632e+02	1.076207e+03	AURKB
GO_Biological_Process_2021	free ubiquitin chain polymerization (GO:0010994)	1/6	5.985691e-03	1.577624e-02	0	0	2.102632e+02	1.076207e+03	UBE2C
GO_Biological_Process_2021	regulation of mitotic sister chromatid segregation (GO:0033047)	1/6	5.985691e-03	1.577624e-02	0	0	2.102632e+02	1.076207e+03	CCNB1
GO_Biological_Process_2021	regulation of mitotic spindle checkpoint (GO:1903504)	1/6	5.985691e-03	1.577624e-02	0	0	2.102632e+02	1.076207e+03	CCNB1
GO_Biological_Process_2021	histone-serine phosphorylation (GO:0035404)	1/6	5.985691e-03	1.577624e-02	0	0	2.102632e+02	1.076207e+03	AURKB
GO_Biological_Process_2021	protein localization to nuclear envelope (GO:0090435)	1/6	5.985691e-03	1.577624e-02	0	0	2.102632e+02	1.076207e+03	PLK1
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	3/381	6.146063e-03	1.607432e-02	0	0	9.151261e+00	4.659770e+01	PLK1;CDK1;BIRC5
GO_Biological_Process_2021	epithelium development (GO:0060429)	2/122	6.525961e-03	1.693761e-02	0	0	1.838889e+01	9.253228e+01	PCNA;CDK1
GO_Biological_Process_2021	regulation of glial cell differentiation (GO:0045685)	1/7	6.979996e-03	1.732262e-02	0	0	1.752105e+02	8.698689e+02	CDK1
GO_Biological_Process_2021	cleavage furrow formation (GO:0036089)	1/7	6.979996e-03	1.732262e-02	0	0	1.752105e+02	8.698689e+02	AURKB
GO_Biological_Process_2021	positive regulation of synaptic plasticity (GO:0031915)	1/7	6.979996e-03	1.732262e-02	0	0	1.752105e+02	8.698689e+02	CDC20
GO_Biological_Process_2021	Golgi disassembly (GO:0090166)	1/7	6.979996e-03	1.732262e-02	0	0	1.752105e+02	8.698689e+02	CDK1
GO_Biological_Process_2021	regulation of muscle organ development (GO:0048634)	1/7	6.979996e-03	1.732262e-02	0	0	1.752105e+02	8.698689e+02	CENPF
GO_Biological_Process_2021	DNA ligation (GO:0006266)	1/7	6.979996e-03	1.732262e-02	0	0	1.752105e+02	8.698689e+02	TOP2A
GO_Biological_Process_2021	protein modification by small protein conjugation (GO:0032446)	3/409	7.472851e-03	1.841137e-02	0	0	8.507969e+00	4.165909e+01	PCNA;UBE2C;PLK1
GO_Biological_Process_2021	negative regulation of B cell apoptotic process (GO:0002903)	1/8	7.973357e-03	1.856809e-02	0	0	1.501729e+02	7.255830e+02	AURKB
GO_Biological_Process_2021	regulation of striated muscle tissue development (GO:0016202)	1/8	7.973357e-03	1.856809e-02	0	0	1.501729e+02	7.255830e+02	CENPF
GO_Biological_Process_2021	negative regulation of chromosome organization (GO:2001251)	1/8	7.973357e-03	1.856809e-02	0	0	1.501729e+02	7.255830e+02	TOP2A
GO_Biological_Process_2021	positive regulation of chromosome segregation (GO:0051984)	1/8	7.973357e-03	1.856809e-02	0	0	1.501729e+02	7.255830e+02	CCNB1
GO_Biological_Process_2021	mitotic spindle elongation (GO:0000022)	1/8	7.973357e-03	1.856809e-02	0	0	1.501729e+02	7.255830e+02	AURKB
GO_Biological_Process_2021	mitotic spindle midzone assembly (GO:0051256)	1/8	7.973357e-03	1.856809e-02	0	0	1.501729e+02	7.255830e+02	AURKB
GO_Biological_Process_2021	negative regulation of mitotic nuclear division (GO:0045839)	1/8	7.973357e-03	1.856809e-02	0	0	1.501729e+02	7.255830e+02	CHEK1
GO_Biological_Process_2021	regulation of protein localization to cell cortex (GO:1904776)	1/8	7.973357e-03	1.856809e-02	0	0	1.501729e+02	7.255830e+02	PLK1
GO_Biological_Process_2021	regulation of cellular component organization (GO:0051128)	2/139	8.394293e-03	1.941537e-02	0	0	1.609327e+01	7.692909e+01	MKI67;AURKA
GO_Biological_Process_2021	tetrahydrofolate interconversion (GO:0035999)	1/9	8.965773e-03	2.005502e-02	0	0	1.313947e+02	6.194396e+02	TYMS
GO_Biological_Process_2021	positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	1/9	8.965773e-03	2.005502e-02	0	0	1.313947e+02	6.194396e+02	PCNA
GO_Biological_Process_2021	positive regulation of synapse maturation (GO:0090129)	1/9	8.965773e-03	2.005502e-02	0	0	1.313947e+02	6.194396e+02	CDC20
GO_Biological_Process_2021	DNA topological change (GO:0006265)	1/9	8.965773e-03	2.005502e-02	0	0	1.313947e+02	6.194396e+02	TOP2A
